Tm,FDPt,Rec,FDPts_per_Rec
Kansas City Chiefs,494.8,208,2.378846153846154
Green Bay Packers,481.4,186,2.5881720430107524
Tampa Bay Buccaneers,501.6,220,2.2800000000000002
Carolina Panthers,472.4,209,2.2602870813397127
New England Patriots,469.1,204,2.299509803921569
Houston Texans,459.5,173,2.6560693641618496
San Francisco 49ers,449.5,188,2.390957446808511
Indianapolis Colts,438.7,181,2.423756906077348
Dallas Cowboys,444.6,199,2.234170854271357
New York Giants,434.3,181,2.399447513812155
New York Jets,437.4,185,2.364324324324324
Tennessee Titans,430.8,193,2.2321243523316063
Philadelphia Eagles,431.0,199,2.1658291457286434
Seattle Seahawks,422.8,188,2.248936170212766
Arizona Cardinals,415.5,173,2.401734104046243
New Orleans Saints,415.5,185,2.245945945945946
Cleveland Browns,415.2,183,2.268852459016393
Oakland Raiders,406.3,177,2.2954802259887006
Detroit Lions,410.1,205,2.000487804878049
Atlanta Falcons,392.7,181,2.169613259668508
Chicago Bears,402.1,181,2.221546961325967
Los Angeles Rams,378.9,181,2.0933701657458563
Pittsburgh Steelers,361.1,151,2.3913907284768214
Los Angeles Chargers,366.7,167,2.195808383233533
Minnesota Vikings,373.5,181,2.06353591160221
Washington Redskins,360.7,147,2.4537414965986395
Buffalo Bills,374.5,197,1.901015228426396
Miami Dolphins,347.5,145,2.396551724137931
Denver Broncos,345.7,144,2.4006944444444445
Cincinnati Bengals,345.2,155,2.2270967741935483
Baltimore Ravens,344.8,173,1.993063583815029
Jacksonville Jaguars,315.0,142,2.2183098591549295
