Tm,G,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt,FantPt,DKPt,FDPt
Miami Dolphins,16,135,94,1034,10,163.4,260.4,210.4,10.2,16.3,13.2
New York Giants,16,121,78,923,12,161.6,244.6,201.6,10.1,15.3,12.6
Denver Broncos,16,120,79,1023,9,156.3,238.3,195.8,9.8,14.9,12.2
Houston Texans,16,116,81,922,9,146.2,227.2,186.7,9.1,14.2,11.7
Cleveland Browns,16,125,89,868,10,145.4,236.4,189.9,9.1,14.8,11.9
Oakland Raiders,16,136,91,1089,5,139.2,230.2,184.7,8.7,14.4,11.5
Washington Redskins,16,127,79,970,8,139.1,226.5,184.0,8.7,14.2,11.5
Baltimore Ravens,16,122,79,856,8,131.6,211.6,171.1,8.2,13.2,10.7
New York Jets,16,105,61,776,9,129.7,191.7,160.2,8.1,12.0,10.0
Detroit Lions,16,96,59,836,8,127.6,191.6,157.1,8.0,12.0,9.8
Los Angeles Rams,16,106,63,776,8,125.7,191.6,157.1,7.9,12.0,9.8
Indianapolis Colts,16,99,66,759,8,125.6,191.6,158.6,7.9,12.0,9.9
Cincinnati Bengals,16,119,83,913,5,121.3,207.3,162.8,7.6,13.0,10.2
Buffalo Bills,16,120,83,916,4,117.2,202.0,156.5,7.3,12.6,9.8
Tennessee Titans,16,129,76,853,5,113.3,190.3,151.3,7.1,11.9,9.5
Dallas Cowboys,16,110,75,747,6,110.7,187.7,150.2,6.9,11.7,9.4
Arizona Cardinals,16,122,75,729,6,106.9,182.9,144.4,6.7,11.4,9.0
Philadelphia Eagles,16,111,73,745,5,106.2,181.9,142.4,6.6,11.4,8.9
San Francisco 49ers,16,107,67,580,8,104.0,172.9,137.4,6.5,10.8,8.6
Atlanta Falcons,16,118,71,772,4,103.3,177.2,138.7,6.5,11.1,8.7
New Orleans Saints,16,96,60,679,6,102.4,169.4,132.4,6.4,10.6,8.3
New England Patriots,16,113,74,720,5,100.6,175.6,137.6,6.3,11.0,8.6
Carolina Panthers,16,82,54,585,7,100.5,155.5,127.5,6.3,9.7,8.0
Kansas City Chiefs,16,97,53,782,3,96.2,152.2,122.7,6.0,9.5,7.7
Seattle Seahawks,16,120,67,716,4,95.7,162.6,129.1,6.0,10.2,8.1
Los Angeles Chargers,16,113,73,794,3,95.4,169.4,131.9,6.0,10.6,8.2
Chicago Bears,16,108,71,709,4,94.9,172.9,130.4,5.9,10.8,8.2
Green Bay Packers,16,101,66,697,4,91.7,161.7,124.7,5.7,10.1,7.8
Jacksonville Jaguars,16,97,62,616,4,91.7,153.7,122.7,5.7,9.6,7.7
Pittsburgh Steelers,16,105,61,753,2,89.3,153.3,119.8,5.6,9.6,7.5
Tampa Bay Buccaneers,16,88,63,647,3,80.7,150.7,118.2,5.0,9.4,7.4
Minnesota Vikings,16,111,66,591,3,77.1,143.1,110.1,4.8,8.9,6.9
